Account,date,daily_pnl,avg_pnl_per_trade,pnl_volatility,min_pnl,max_pnl,num_trades,total_volume_usd,avg_trade_size_usd,total_fees,avg_trade_size_tokens,win_rate,long_short_ratio,value,classification
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,8695.3573,12.0102,58.5611,0.0,650.7117,724,2125807.78,2936.1986,157.168,836.4601,0.07596685082872928,0.0,74.0,Greed
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,100502.4208,48.3185,180.0868,-103.55,3051.649,2080,7134710.2,3430.1491,2058.6477,1472.4872,0.3903846153846154,1.2524,44.0,Fear
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-06-15,17381.164,70.0853,559.628,0.0,5058.162,248,1731837.76,6983.2168,606.1431,5310.0427,0.016129032258064516,248.0,,Unknown
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,49180.7149,11.6791,44.7962,-56.9116,1210.3444,4211,6889828.6,1636.1502,481.7115,65.6133,0.418665400142484,4210.0,74.0,Greed
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,40314.808,4.3471,82.4797,-7104.9201,2148.5345,9274,10738173.13,1157.8794,1635.5556,415.5315,0.32003450506793185,17.2579,44.0,Fear
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-06-15,16807.3524,7.928,21.3076,0.0,237.3007,2120,2240206.25,1056.7011,170.6883,16.1533,0.3136792452830189,100.0,,Unknown
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,-14505.5058,-371.936,1746.6298,-10309.4003,0.0,39,307215.74,7877.3267,138.244,4275.0197,0.0,20.0,50.0,Neutral
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,67900.2475,239.9302,939.4915,-182.0318,13404.2388,283,476629.33,1684.2026,29.2009,798.146,0.5477031802120141,6.0,74.0,Greed
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,19451.7425,204.7552,444.2415,-920.3363,3015.9777,95,77964.33,820.6772,22.4931,3252.747,0.8842105263157894,,44.0,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,20925.5132,110.1343,306.4947,0.0,3008.2312,190,643594.44,3387.3392,201.3623,115.8132,0.5526315789473685,87.0,74.0,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,8751.7514,48.0865,207.2907,0.0,2370.4887,182,559278.3,3072.9577,187.9173,16487.9121,0.2692307692307692,182.0,44.0,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-06-15,38168.3549,199.8343,721.8065,0.0,7047.8573,191,474552.98,2484.5706,159.4496,18874.3455,0.39790575916230364,191.0,,Unknown
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,55.0152,6.1128,13.5913,0.0,39.7705,9,16766.37,1862.93,3.6593,0.0608,0.2222222222222222,9.0,74.0,Greed
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,21703.8165,41.3406,290.6903,-540.2534,4005.321,525,4431556.89,8441.0607,538.0864,0.1353,0.3238095238095238,399.0,44.0,Fear
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,155.5034,0.1491,105.1929,-1685.2222,801.5476,1043,11509295.89,11034.7995,2783.4985,2571.1323,0.2751677852348993,2.7554,69.0,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,2606.8948,0.8475,133.2636,-3334.1547,2500.9575,3076,23499792.29,7639.7244,4561.2061,23763.3983,0.21879063719115735,1.1036,84.0,Extreme Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,62586.1816,38.0926,250.8444,-5028.0664,4908.8916,1643,4723983.0,2875.2179,2953.8321,4394.4326,0.20998174071819842,0.8017,50.0,Neutral
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,1421755.8459,1121.2586,4099.9125,-1726.1675,44223.4519,1268,2746705.92,2166.1719,812.1414,1131.2215,0.5670347003154574,0.0196,74.0,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,553818.0005,75.0431,783.0559,-72.6581,48504.0956,7380,13421173.84,1818.5872,4707.649,798.1006,0.3910569105691057,0.4284,44.0,Fear
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-06-15,102460.1716,317.2142,1199.1556,0.0,9373.37,323,642614.29,1989.5179,176.9911,84.3314,0.17647058823529413,0.0,,Unknown
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,22488.5008,4.6483,332.0834,-17178.8766,7066.5549,4838,108877041.1,22504.5558,28643.1737,268.0969,0.4386109962794543,1.6735,44.0,Fear
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,940157.2127,44.368,567.7894,-5.444,68959.0021,21190,68036326.2,3210.7752,8596.7008,208.8692,0.46753185464841907,21187.0,44.0,Fear
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-06-15,6.5935,3.2968,2.0314,1.8603,4.7332,2,14.04,7.02,0.0049,0.365,1.0,2.0,,Unknown
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,11671.68,43.7142,182.7079,-41.8611,1220.4557,267,727783.42,2725.7806,81.2274,1936.3371,0.15355805243445692,0.0806,74.0,Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,325441.9772,147.1922,1598.4388,-24500.0,32783.5294,2211,17917884.11,8103.9729,3999.8539,4324.1156,0.3722297602894618,0.6682,44.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-06-15,-116594.5954,-715.3043,1601.2596,-11199.6361,1.07,163,2091724.18,12832.6637,692.0172,434.3804,0.006134969325153374,0.0186,,Unknown
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,684215.0026,69.2315,519.6044,-22634.4634,22883.5125,9883,26617723.76,2693.2838,2512.0073,109.5931,0.5692603460487706,0.1739,74.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,126967.9762,4.7641,61.2427,-2044.4,1685.5817,26651,41437969.8,1554.8373,9512.3176,92.5136,0.3848636073693295,1.4688,44.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-06-15,24897.5743,6.8213,35.081,-100.9413,618.1714,3650,6052116.88,1658.1142,1328.5748,90.0315,0.363013698630137,0.1239,,Unknown
